open_time,close_time,open,high,low,close,trade_count
2026-03-13 17:00:00+00:00,2026-03-13 17:59:59.999000+00:00,0.1049,0.1052087,0.1029,0.10337698,3600
2026-03-13 18:00:00+00:00,2026-03-13 18:59:59.999000+00:00,0.1034394,0.1039,0.1029,0.1034,3600
2026-03-13 19:00:00+00:00,2026-03-13 19:59:59.999000+00:00,0.1034,0.10384668,0.10291579,0.10337389,3600
2026-03-13 20:00:00+00:00,2026-03-13 20:59:59.999000+00:00,0.10337389,0.10361925,0.1031,0.1034878,3600
2026-03-13 21:00:00+00:00,2026-03-13 21:59:59.999000+00:00,0.1034878,0.10424803,0.10293215,0.1031,3600
2026-03-13 22:00:00+00:00,2026-03-13 22:59:59.999000+00:00,0.1031,0.1032,0.10176217,0.1025,3600
2026-03-13 23:00:00+00:00,2026-03-13 23:59:59.999000+00:00,0.1025,0.10286592,0.10233378,0.1026454,3600
2026-03-14 00:00:00+00:00,2026-03-14 00:59:59.999000+00:00,0.1027,0.1027,0.10155062,0.10173423,3600
2026-03-14 01:00:00+00:00,2026-03-14 01:59:59.999000+00:00,0.1017334,0.1027,0.10160507,0.10264833,3600
2026-03-14 02:00:00+00:00,2026-03-14 02:59:59.999000+00:00,0.10264833,0.1027,0.1018,0.10242123,3600
2026-03-14 03:00:00+00:00,2026-03-14 03:59:59.999000+00:00,0.10242121,0.1029,0.10241386,0.10275,3600
2026-03-14 04:00:00+00:00,2026-03-14 04:59:59.999000+00:00,0.10274999,0.10331991,0.102335,0.10235297,3600
2026-03-14 05:00:00+00:00,2026-03-14 05:59:59.999000+00:00,0.1024,0.1025,0.1015559,0.10185016,3600
2026-03-14 06:00:00+00:00,2026-03-14 06:59:59.999000+00:00,0.10185,0.1019,0.10041287,0.10098703,3600
2026-03-14 07:00:00+00:00,2026-03-14 07:59:59.999000+00:00,0.10098611,0.101,0.10041321,0.10056127,3600
2026-03-14 08:00:00+00:00,2026-03-14 08:59:59.999000+00:00,0.10056421,0.10064358,0.10010041,0.1002,3600
