symbol,fundingTime,fundingRate,markPrice
ARBUSDT,2026-03-14 00:00:00.001000+00:00,0.0001,0.1027
ARBUSDT,2026-03-14 08:00:00+00:00,-2.483e-05,0.10056421
ARBUSDT,2026-03-14 16:00:00.007000+00:00,-1.661e-05,0.1003
ARBUSDT,2026-03-15 00:00:00+00:00,-0.00014675,0.10099286
ARBUSDT,2026-03-15 08:00:00+00:00,0.0001,0.10175378
ARBUSDT,2026-03-15 16:00:00+00:00,0.0001,0.1013
ARBUSDT,2026-03-16 00:00:00+00:00,6.13e-06,0.1039
ARBUSDT,2026-03-16 08:00:00.010000+00:00,0.0001,0.10865984
ARBUSDT,2026-03-16 16:00:00+00:00,7.448e-05,0.1067
ARBUSDT,2026-03-17 00:00:00+00:00,8.332e-05,0.1104
ARBUSDT,2026-03-17 08:00:00.002000+00:00,0.0001,0.10848096
ARBUSDT,2026-03-17 16:00:00.011000+00:00,4.018e-05,0.1077
ARBUSDT,2026-03-18 00:00:00.002000+00:00,0.0001,0.1079
ARBUSDT,2026-03-18 08:00:00.002000+00:00,3.685e-05,0.1079
ARBUSDT,2026-03-18 16:00:00.005000+00:00,-0.00025107,0.1013
ARBUSDT,2026-03-19 00:00:00+00:00,-2.701e-05,0.1028467
ARBUSDT,2026-03-19 08:00:00.003000+00:00,1.084e-05,0.1006
ARBUSDT,2026-03-19 16:00:00.003000+00:00,0.0001,0.0986018
ARBUSDT,2026-03-20 00:00:00.002000+00:00,9.58e-05,0.09926432
ARBUSDT,2026-03-20 08:00:00+00:00,6.24e-06,0.1006
ARBUSDT,2026-03-20 16:00:00+00:00,5.334e-05,0.09964599
ARBUSDT,2026-03-21 00:00:00+00:00,4.328e-05,0.0998
ARBUSDT,2026-03-21 08:00:00+00:00,-0.0001122,0.09975385
ARBUSDT,2026-03-21 16:00:00.014000+00:00,-5.227e-05,0.1006
ARBUSDT,2026-03-22 00:00:00.012000+00:00,-1.877e-05,0.09628927
ARBUSDT,2026-03-22 08:00:00.007000+00:00,-0.00018353,0.09494429
ARBUSDT,2026-03-22 16:00:00.002000+00:00,-0.00026948,0.09359018
ARBUSDT,2026-03-23 00:00:00+00:00,-6.257e-05,0.09248368
ARBUSDT,2026-03-23 08:00:00.003000+00:00,7.89e-05,0.0924
ARBUSDT,2026-03-23 16:00:00.002000+00:00,3.805e-05,0.09417706
ARBUSDT,2026-03-24 00:00:00+00:00,-2.013e-05,0.09754869
ARBUSDT,2026-03-24 08:00:00+00:00,9.53e-05,0.0968
ARBUSDT,2026-03-24 16:00:00.003000+00:00,0.0001,0.0965139
ARBUSDT,2026-03-25 00:00:00+00:00,0.0001,0.09755096
ARBUSDT,2026-03-25 08:00:00+00:00,0.0001,0.09850663
ARBUSDT,2026-03-25 16:00:00.013000+00:00,0.0001,0.09880187
ARBUSDT,2026-03-26 00:00:00.001000+00:00,0.0001,0.0987
ARBUSDT,2026-03-26 08:00:00.001000+00:00,-4.55e-06,0.09525926
ARBUSDT,2026-03-26 16:00:00+00:00,7.621e-05,0.0941
ARBUSDT,2026-03-27 00:00:00.006000+00:00,-9.32e-06,0.09384462
ARBUSDT,2026-03-27 08:00:00+00:00,0.0001,0.09445331
ARBUSDT,2026-03-27 16:00:00+00:00,-0.00016335,0.0904
