,open,high,low,close,volume
2024-03-18 00:00:00+00:00,58.26348876953125,61.20098876953125,55.470611572265625,60.55500030517578,285725184.0
2024-03-18 04:00:00+00:00,60.28448486328125,62.0382194519043,59.44862747192383,61.27425765991211,198622080.0
2024-03-18 08:00:00+00:00,60.87879943847656,64.00141906738281,59.71282958984375,63.842979431152344,257911040.0
2024-03-18 12:00:00+00:00,63.42813491821289,63.93250274658203,60.427555084228516,61.38016891479492,267409408.0
2024-03-18 16:00:00+00:00,62.90742111206055,65.0860366821289,61.75971221923828,62.44021224975586,491585024.0
2024-03-18 20:00:00+00:00,62.41872024536133,64.5433349609375,60.283843994140625,60.494014739990234,154145536.0
2024-03-19 00:00:00+00:00,60.9326171875,61.75619125366211,57.08515167236328,59.21963119506836,65601792.0
2024-03-19 04:00:00+00:00,59.00349044799805,60.13570022583008,55.591644287109375,60.13570022583008,171282688.0
2024-03-19 08:00:00+00:00,60.09407043457031,60.09407043457031,55.23509216308594,58.05308532714844,159415040.0
2024-03-19 12:00:00+00:00,58.029388427734375,61.022823333740234,56.64202880859375,60.08940887451172,202471680.0
2024-03-19 16:00:00+00:00,59.96398162841797,61.6733512878418,58.5865364074707,58.66242218017578,0.0
2024-03-19 20:00:00+00:00,58.629302978515625,58.629302978515625,53.24932098388672,53.51723098754883,29707520.0
2024-03-20 00:00:00+00:00,53.57952880859375,54.27495193481445,51.52711868286133,51.550010681152344,15511040.0
2024-03-20 04:00:00+00:00,51.56288146972656,54.02010726928711,50.550697326660156,53.8579216003418,3187456.0
2024-03-20 08:00:00+00:00,53.84392166137695,54.03187942504883,52.61043930053711,53.454811096191406,0.0
2024-03-20 12:00:00+00:00,53.44857406616211,54.63093948364258,52.36744689941406,52.673954010009766,0.0
2024-03-20 16:00:00+00:00,52.64960479736328,55.85308837890625,50.78068161010742,55.451114654541016,145476224.0
2024-03-20 20:00:00+00:00,55.44410705566406,57.992977142333984,55.142295837402344,57.00225830078125,54707200.0
2024-03-21 00:00:00+00:00,57.04655838012695,57.645206451416016,55.86400604248047,56.006290435791016,628736.0
2024-03-21 04:00:00+00:00,55.945037841796875,56.02973175048828,53.90444564819336,54.47227096557617,0.0
