,open,high,low,close,volume
2024-03-18 00:00:00+00:00,571.1715087890625,571.1715087890625,550.9443359375,564.89208984375,127689984.0
2024-03-18 04:00:00+00:00,564.8607788085938,585.6729125976562,560.1109619140625,577.2144775390625,166139136.0
2024-03-18 08:00:00+00:00,575.8219604492188,575.8219604492188,561.8831787109375,568.1361083984375,103646464.0
2024-03-18 12:00:00+00:00,568.557861328125,570.760009765625,545.91943359375,552.4244995117188,209797376.0
2024-03-18 16:00:00+00:00,552.139404296875,556.3818359375,541.5181884765625,547.603515625,127607552.0
2024-03-18 20:00:00+00:00,548.914794921875,557.7459716796875,548.914794921875,554.5120239257812,5096192.0
2024-03-19 00:00:00+00:00,555.2070922851562,559.3876953125,525.0042724609375,535.3790893554688,139935744.0
2024-03-19 04:00:00+00:00,534.3802490234375,535.146484375,515.941162109375,528.392578125,185321472.0
2024-03-19 08:00:00+00:00,528.370849609375,528.370849609375,498.9097900390625,513.5877075195312,463457792.0
2024-03-19 12:00:00+00:00,513.5421142578125,529.1787719726562,509.4267883300781,529.1787719726562,85908992.0
2024-03-19 16:00:00+00:00,528.6912841796875,538.3312377929688,527.5407104492188,532.8224487304688,23880704.0
2024-03-19 20:00:00+00:00,532.341064453125,532.6893920898438,501.59857177734375,507.1137390136719,102727424.0
2024-03-20 00:00:00+00:00,507.6794738769531,521.7628784179688,506.6484069824219,513.14599609375,30974464.0
2024-03-20 04:00:00+00:00,512.7821044921875,532.9777221679688,501.27606201171875,532.5006713867188,0.0
2024-03-20 08:00:00+00:00,532.1309814453125,535.3604125976562,522.7760009765625,532.8464965820312,0.0
2024-03-20 12:00:00+00:00,533.0465087890625,538.8724975585938,516.6511840820312,516.9319458007812,0.0
2024-03-20 16:00:00+00:00,516.8369750976562,542.0819091796875,505.8680114746094,541.3699340820312,159846912.0
2024-03-20 20:00:00+00:00,541.3216552734375,558.9251708984375,540.5896606445312,556.6395263671875,75615232.0
2024-03-21 00:00:00+00:00,556.7630615234375,561.7282104492188,550.4259033203125,553.6875,21583360.0
2024-03-21 04:00:00+00:00,553.29736328125,553.8999633789062,541.7376708984375,550.5157470703125,0.0
2024-03-21 08:00:00+00:00,550.624267578125,569.84765625,550.2780151367188,559.2447509765625,122016000.0
2024-03-21 12:00:00+00:00,559.1660766601562,565.5218505859375,555.0999145507812,557.9537353515625,7566592.0
2024-03-21 16:00:00+00:00,557.9503173828125,566.3212890625,544.9822998046875,553.011962890625,0.0
2024-03-21 20:00:00+00:00,552.7481689453125,557.9331665039062,548.4043579101562,553.1632690429688,0.0
2024-03-22 00:00:00+00:00,553.3452758789062,576.7648315429688,552.5993041992188,576.6400146484375,95280384.0
2024-03-22 04:00:00+00:00,576.1307983398438,585.513916015625,572.0691528320312,583.6573486328125,81912064.0
2024-03-22 08:00:00+00:00,583.7669677734375,587.4506225585938,565.7562866210938,565.9567260742188,46407424.0
2024-03-22 12:00:00+00:00,565.96142578125,569.218017578125,542.2564086914062,555.1437377929688,269357568.0
2024-03-22 16:00:00+00:00,554.8009643554688,554.8009643554688,543.550537109375,551.3905639648438,27040512.0
2024-03-22 20:00:00+00:00,551.2348022460938,551.3067626953125,535.9741821289062,551.3067626953125,73949440.0
2024-03-23 00:00:00+00:00,552.3484497070312,561.6904296875,545.1689453125,550.237548828125,0.0
2024-03-23 04:00:00+00:00,550.4256591796875,558.1604614257812,549.3827514648438,554.8250732421875,0.0
2024-03-23 08:00:00+00:00,554.778564453125,558.6931762695312,550.874267578125,553.0797729492188,0.0
2024-03-23 12:00:00+00:00,553.4861450195312,567.482177734375,553.4861450195312,562.2243041992188,0.0
2024-03-23 16:00:00+00:00,562.2008056640625,564.6455688476562,558.4070434570312,559.4638671875,0.0
2024-03-23 20:00:00+00:00,559.3012084960938,561.9529418945312,551.6886596679688,551.6886596679688,0.0
2024-03-24 00:00:00+00:00,551.8674926757812,560.9824829101562,551.2605590820312,551.2605590820312,0.0
2024-03-24 04:00:00+00:00,551.2673950195312,555.0460205078125,549.5982666015625,552.1051635742188,0.0
