,open,high,low,close,volume,vd,cvd,buy_frac,cvd_3,cvd_6,cvd_12,cvd_24,cvd_ma_3,cvd_ma_6,cvd_ma_12,cvd_ma_24,cvd_ratio_3,cvd_ratio_6,cvd_ratio_12,cvd_ratio_24,cvd_div_3,cvd_div_6,cvd_div_12,cvd_div_24,ofi_raw,ofi_norm,ofi_sum_3,ofi_sum_6,ofi_sum_12,ofi_sum_24,ofi_mean_3,ofi_mean_6,ofi_mean_12,ofi_mean_24,ofi_std_3,ofi_std_6,ofi_std_12,ofi_std_24,ofi_pct_3,ofi_pct_6,ofi_pct_12,ofi_pct_24,vpin_12,vpin_24,vpin_48,vpin_chg_12,vpin_chg_24,vpin_chg_48,roll_spread_12,roll_spread_24,roll_spread_48,roll_spread_bps_12,roll_spread_bps_24,roll_spread_bps_48,roll_spread_ratio,illiq_raw,illiq_3,illiq_6,illiq_12,illiq_24,illiq_std_3,illiq_std_6,illiq_std_12,illiq_std_24,illiq_z_3,illiq_z_6,illiq_z_12,illiq_z_24,illiq_ratio,ms_flow_score,ms_informed_score,ms_liquidity_stress,ms_composite
2024-03-18 00:00:00+00:00,571.1715087890625,571.1715087890625,550.9443359375,564.89208984375,127689984.0,48408622.185452975,48408622.185452975,0.6895552833080979,93942092.95516574,-27731060.60385448,-10771464.46477855,172459846.63407505,31314030.98505525,-4621843.433975747,-897622.0387315458,7185826.94308646,0.23634682666486942,-0.03747558599338619,-0.0061861990743558035,0.07988648164131748,1.0,1.0,1.0,1.0,-39640680.90664225,0.0,-16498902.74824579,-188468873.83678588,-565701776.588794,-336045905.96403295,-5499634.2494152635,-31411478.972797647,-47141814.715732835,-14001912.748501373,74812215.67475836,71354908.21594939,85439589.91755198,72540386.08947091,-0.04150922323884375,-0.25469568544253235,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,2.2746794931230783e-07,2.443917861337556e-07,9.638331265381208e-07,7.431224473734804e-07,34622140838976.25,2.04350516468558e-08,1.7184051442163694e-06,1.2022685877580242e-06,96430522251705.33,-0.28137917452995465,-0.2928586710395963,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-18 04:00:00+00:00,564.8607788085938,585.6729125976562,560.1109619140625,577.2144775390625,166139136.0,56188443.272943705,104597065.45839667,0.6691005642190884,93942092.95516574,-27731060.60385448,-10771464.46477855,172459846.63407505,31314030.98505525,-4621843.433975747,-897622.0387315458,7185826.94308646,0.23634682666486942,-0.03747558599338619,-0.0061861990743558035,0.07988648164131748,1.0,1.0,1.0,1.0,80292496.40926835,0.0,-16498902.74824579,-188468873.83678588,-565701776.588794,-336045905.96403295,-5499634.2494152635,-31411478.972797647,-47141814.715732835,-14001912.748501373,74812215.67475836,71354908.21594939,85439589.91755198,72540386.08947091,-0.04150922323884375,-0.25469568544253235,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,2.2746794931230783e-07,2.443917861337556e-07,9.638331265381208e-07,7.431224473734804e-07,34622140838976.25,2.04350516468558e-08,1.7184051442163694e-06,1.2022685877580242e-06,96430522251705.33,-0.28137917452995465,-0.2928586710395963,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-18 08:00:00+00:00,575.8219604492188,575.8219604492188,561.8831787109375,568.1361083984375,103646464.0,-10654972.503230937,93942092.95516574,0.4485994403859695,93942092.95516574,-27731060.60385448,-10771464.46477855,172459846.63407505,31314030.98505525,-4621843.433975747,-897622.0387315458,7185826.94308646,0.23634682666486942,-0.03747558599338619,-0.0061861990743558035,0.07988648164131748,1.0,1.0,1.0,1.0,-57150718.25087189,0.0,-16498902.74824579,-188468873.83678588,-565701776.588794,-336045905.96403295,-5499634.2494152635,-31411478.972797647,-47141814.715732835,-14001912.748501373,74812215.67475836,71354908.21594939,85439589.91755198,72540386.08947091,-0.04150922323884375,-0.25469568544253235,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,2.670937588365256e-07,2.443917861337556e-07,9.638331265381208e-07,7.431224473734804e-07,34622140838976.25,2.04350516468558e-08,1.7184051442163694e-06,1.2022685877580242e-06,96430522251705.33,-0.28137917452995465,-0.2928586710395963,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-18 12:00:00+00:00,568.557861328125,570.760009765625,545.91943359375,552.4244995117188,209797376.0,-99917013.25410092,-5974920.298935175,0.2618725859228551,-54383542.48438815,-27731060.60385448,-10771464.46477855,172459846.63407505,-18127847.49479605,-4621843.433975747,-897622.0387315458,7185826.94308646,-0.11339756664837942,-0.03747558599338619,-0.0061861990743558035,0.07988648164131748,0.0,1.0,1.0,1.0,-136258392.38621473,0.0,-113116614.22781828,-188468873.83678588,-565701776.588794,-336045905.96403295,-37705538.075939424,-31411478.972797647,-47141814.715732835,-14001912.748501373,109577178.89029226,71354908.21594939,85439589.91755198,72540386.08947091,-0.23586453208009261,-0.25469568544253235,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,2.3861365025243334e-07,2.443917861337556e-07,9.638331265381208e-07,7.431224473734804e-07,34622140838976.25,2.04350516468558e-08,1.7184051442163694e-06,1.2022685877580242e-06,96430522251705.33,-0.28137917452995465,-0.2928586710395963,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-18 16:00:00+00:00,552.139404296875,556.3818359375,541.5181884765625,547.603515625,127607552.0,-23119914.955754995,-29094835.25469017,0.40941008352015484,-133691900.71308684,-27731060.60385448,-10771464.46477855,172459846.63407505,-44563966.90436228,-4621843.433975747,-897622.0387315458,7185826.94308646,-0.3031209132043434,-0.03747558599338619,-0.0061861990743558035,0.07988648164131748,0.0,1.0,1.0,1.0,-38941562.02774323,0.0,-232350672.66482985,-188468873.83678588,-565701776.588794,-336045905.96403295,-77450224.22160995,-31411478.972797647,-47141814.715732835,-14001912.748501373,51736774.39449532,71354908.21594939,85439589.91755198,72540386.08947091,-0.5268108816326553,-0.25469568544253235,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,1.2488783705199887e-07,2.1019841538031926e-07,9.638331265381208e-07,7.431224473734804e-07,34622140838976.25,7.524094780951918e-08,1.7184051442163694e-06,1.2022685877580242e-06,96430522251705.33,-1.1323268529088186,-0.2928586710395963,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-18 20:00:00+00:00,548.914794921875,557.7459716796875,548.914794921875,554.5120239257812,5096192.0,1363774.6508356903,-27731060.60385448,0.6338033036074475,-121673153.55902022,-27731060.60385448,-10771464.46477855,172459846.63407505,-40557717.85300674,-4621843.433975747,-897622.0387315458,7185826.94308646,-0.3552489216940961,-0.03747558599338619,-0.0061861990743558035,0.07988648164131748,0.0,1.0,1.0,1.0,3229983.325417845,0.0,-171969971.0885401,-188468873.83678588,-565701776.588794,-336045905.96403295,-57323323.69618004,-31411478.972797647,-47141814.715732835,-14001912.748501373,71537882.35049878,71354908.21594939,85439589.91755198,72540386.08947091,-0.5021004634628351,-0.25469568544253235,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,4.464381569947253e-06,1.6092943524172286e-06,9.638331265381208e-07,7.431224473734804e-07,34622140838976.25,2.4732318239349357e-06,1.7184051442163694e-06,1.2022685877580242e-06,96430522251705.33,1.1543486360789783,-0.2928586710395963,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-19 00:00:00+00:00,555.2070922851562,559.3876953125,525.0042724609375,535.3790893554688,139935744.0,-55487623.33072216,-83218683.93457665,0.30173892050510637,-77243763.63564146,-131627306.12002963,-10771464.46477855,172459846.63407505,-25747921.211880486,-21937884.35333827,-897622.0387315458,7185826.94308646,-0.28331832707828974,-0.17498454568890623,-0.0061861990743558035,0.07988648164131748,0.0,0.0,1.0,1.0,-80697211.38498695,0.0,-116408790.08731234,-229525404.3151306,-565701776.588794,-336045905.96403295,-38802930.02910411,-38254234.052521765,-47141814.715732835,-14001912.748501373,41963769.100413725,74213258.25616902,85439589.91755198,72540386.08947091,-0.42696966217642085,-0.30512968609659946,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,4.60553993828205e-07,1.6832744669424857e-06,9.638331265381208e-07,7.431224473734804e-07,34622140838976.25,2.414349908565224e-06,1.7184051442163694e-06,1.2022685877580242e-06,96430522251705.33,-0.5064178257650733,-0.2928586710395963,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-19 04:00:00+00:00,534.3802490234375,535.146484375,515.941162109375,528.392578125,185321472.0,54978035.87320378,-28240648.06137287,0.6483315324443456,854187.193317309,-132837713.51976955,-10771464.46477855,172459846.63407505,284729.064439103,-22139618.91996159,-897622.0387315458,7185826.94308646,0.002585676952717585,-0.1722023424274383,-0.0061861990743558035,0.07988648164131748,1.0,0.0,1.0,1.0,-57777941.4162885,0.0,-135245169.47585762,-367595842.14068747,-565701776.588794,-336045905.96403295,-45081723.1586192,-61265973.69011458,-47141814.715732835,-14001912.748501373,43380167.951776475,46235582.367133036,85439589.91755198,72540386.08947091,-0.4093954117036311,-0.47652781281719725,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,1.3326512373908357e-07,1.6860668958381805e-06,9.4813265560925e-07,7.431224473734804e-07,34622140838976.25,2.4116496060577305e-06,1.726888050955525e-06,1.2022685877580242e-06,96430522251705.33,-0.6438486682858102,-0.4718431788913123,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-19 08:00:00+00:00,528.370849609375,528.370849609375,498.9097900390625,513.5877075195312,463457792.0,-1655309.2754451632,-29895957.336818032,0.4982141747274311,-2164896.7329635443,-123838050.29198377,-10771464.46477855,172459846.63407505,-721632.2443211814,-20639675.048663963,-897622.0387315458,7185826.94308646,-0.002744840292126842,-0.10947337756837902,-0.0061861990743558035,0.07988648164131748,0.0,0.0,1.0,1.0,-232556550.63614947,0.0,-371031703.4374249,-543001674.525965,-565701776.588794,-336045905.96403295,-123677234.47914164,-90500279.08766083,-47141814.715732835,-14001912.748501373,94986063.97302595,83527605.1791897,85439589.91755198,72540386.08947091,-0.4704255652219374,-0.4800158529263516,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,1.1771263957772215e-07,2.3717725238167026e-07,9.232358023994494e-07,7.431224473734804e-07,34622140838976.25,1.9360616313886385e-07,1.7396997446096695e-06,1.2022685877580242e-06,96430522251705.33,-0.6167310883046425,-0.4629976325249141,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-19 12:00:00+00:00,513.5421142578125,529.1787719726562,509.4267883300781,529.1787719726562,85908992.0,85908991.99913013,56013034.6623121,0.9999999999949373,139231718.59688875,61987954.96124728,-10771464.46477855,172459846.63407505,46410572.86562958,10331325.826874547,-897622.0387315458,7185826.94308646,0.18951128925747895,0.061537027378099574,-0.0061861990743558035,0.07988648164131748,1.0,1.0,1.0,1.0,68009852.92579512,0.0,-222324639.12664282,-338733429.21395516,-565701776.588794,-336045905.96403295,-74108213.04221427,-56455571.535659194,-47141814.715732835,-14001912.748501373,150947173.09732178,100957128.00919509,85439589.91755198,72540386.08947091,-0.30261085203278765,-0.3362693336221217,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,6.677595516497286e-07,3.0624577165551143e-07,9.947601192989987e-07,7.431224473734804e-07,34622140838976.25,3.13176675033724e-07,1.7145636332906276e-06,1.2022685877580242e-06,96430522251705.33,1.153976049941479,-0.19070828896144496,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
2024-03-19 16:00:00+00:00,528.6912841796875,538.3312377929688,527.5407104492188,532.8224487304688,23880704.0,-502490.0386799369,55510544.62363216,0.48947916194849334,83751192.68500502,84605379.87832233,-10771464.46477855,172459846.63407505,27917064.228335008,14100896.646387056,-897622.0387315458,7185826.94308646,0.1460995371775707,0.09363135899139517,-0.0061861990743558035,0.07988648164131748,0.0,1.0,1.0,1.0,9142752.218567697,0.0,-155403945.49178666,-290649114.9676442,-565701776.588794,-336045905.96403295,-51801315.16392889,-48441519.16127404,-47141814.715732835,-14001912.748501373,159281748.01081935,104472731.19516852,85439589.91755198,72540386.08947091,-0.27109398426493697,-0.32165651478907364,-0.32489025221576295,-0.15566246648935275,0.006186199074355786,0.07988648164131751,0.14490134143673455,0.07314461212803201,0.014098339693974185,-0.01196348839752348,0.020394242345373,0.0075878787732545075,0.002411891800930857,203.94242345373002,75.87878773254508,24.11891800930857,2.523422002117642,5.411376963768063e-07,4.4220329586808565e-07,1.0641350958531331e-06,7.431224473734804e-07,34622140838976.25,2.8806060659695084e-07,1.680408310735142e-06,1.2022685877580242e-06,96430522251705.33,0.3433307615398651,-0.3112138131869997,0.004383480442882283,-0.35903715992126106,0.7152926743856627,-0.1397685985609854,0.0,-1.0437280614133226,0.0970616184286882
