Datetime,open,high,low,close,volume,vd,cvd,buy_frac,cvd_3,cvd_6,cvd_12,cvd_24,cvd_ma_3,cvd_ma_6,cvd_ma_12,cvd_ma_24,cvd_ratio_3,cvd_ratio_6,cvd_ratio_12,cvd_ratio_24,cvd_div_3,cvd_div_6,cvd_div_12,cvd_div_24,ofi_raw,ofi_norm,ofi_sum_3,ofi_sum_6,ofi_sum_12,ofi_sum_24,ofi_mean_3,ofi_mean_6,ofi_mean_12,ofi_mean_24,ofi_std_3,ofi_std_6,ofi_std_12,ofi_std_24,ofi_pct_3,ofi_pct_6,ofi_pct_12,ofi_pct_24,vpin_12,vpin_24,vpin_48,vpin_chg_12,vpin_chg_24,vpin_chg_48,vpin_price_ratio_12,vpin_price_ratio_24,vpin_price_ratio_48,roll_spread_12,roll_spread_24,roll_spread_48,roll_spread_bps_12,roll_spread_bps_24,roll_spread_bps_48,roll_spread_ratio,illiq_raw,illiq_3,illiq_6,illiq_12,illiq_24,illiq_std_3,illiq_std_6,illiq_std_12,illiq_std_24,illiq_z_3,illiq_z_6,illiq_z_12,illiq_z_24,illiq_ratio,ms_flow_score,ms_informed_score,ms_liquidity_stress,ms_composite
2025-03-18 00:00:00+00:00,128.16038513183594,128.16038513183594,123.76660919189453,124.26823425292969,194313216,-149944827.54957807,-149944827.54957807,0.11416719192795913,-21926198.76759556,-23390522.080167077,1024930667.015314,960968670.7224633,-7308732.922531853,-3898420.3466945128,85410888.91794284,40040361.28010263,-0.04483160588438948,-0.0441866848223487,0.49966430184725646,0.34310334184069197,1.0,1.0,1.0,1.0,-172129021.77036655,0.011656773490744524,-102334788.66761607,-109593455.25274244,617662881.9344131,564099623.2323126,-34111596.22253869,-18265575.875457074,51471906.827867754,23504150.968013022,151588917.16169122,97769629.07561149,140277549.1361547,107592040.71589686,-0.2092397757786064,-0.20703135437712794,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.643369919228713e-07,1.4623971840378417e-06,40915247357612.06,20457623678806.03,11627267601547.66,1.363466686659576e-06,65903444591950.086,49302860367348.516,35899918387404.984,1.0880564202718426,0.8088051873323209,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
2025-03-18 04:00:00+00:00,124.21986389160156,125.11429595947266,123.67725372314453,125.11429595947266,205862400,205862399.97134918,55917572.42177111,0.9999999999304127,-21926198.76759556,-23390522.080167077,1024930667.015314,960968670.7224633,-7308732.922531853,-3898420.3466945128,85410888.91794284,40040361.28010263,-0.04483160588438948,-0.0441866848223487,0.49966430184725646,0.34310334184069197,1.0,1.0,1.0,1.0,128131190.20535879,0.011656773490744524,-102334788.66761607,-109593455.25274244,617662881.9344131,564099623.2323126,-34111596.22253869,-18265575.875457074,51471906.827867754,23504150.968013022,151588917.16169122,97769629.07561149,140277549.1361547,107592040.71589686,-0.2092397757786064,-0.20703135437712794,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.643369919228713e-07,1.4623971840378417e-06,40915247357612.06,20457623678806.03,11627267601547.66,1.363466686659576e-06,65903444591950.086,49302860367348.516,35899918387404.984,1.0880564202718426,0.8088051873323209,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
2025-03-18 08:00:00+00:00,125.18842315673828,125.91402435302734,123.33746337890625,123.49772644042969,88903424,-77843771.18936667,-21926198.76759556,0.06220037605432014,-21926198.76759556,-23390522.080167077,1024930667.015314,960968670.7224633,-7308732.922531853,-3898420.3466945128,85410888.91794284,40040361.28010263,-0.04483160588438948,-0.0441866848223487,0.49966430184725646,0.34310334184069197,1.0,1.0,1.0,1.0,-58336957.10260831,0.011656773490744524,-102334788.66761607,-109593455.25274244,617662881.9344131,564099623.2323126,-34111596.22253869,-18265575.875457074,51471906.827867754,23504150.968013022,151588917.16169122,97769629.07561149,140277549.1361547,107592040.71589686,-0.2092397757786064,-0.20703135437712794,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1768198882640564e-06,1.4623971840378417e-06,40915247357612.06,20457623678806.03,11627267601547.66,1.363466686659576e-06,65903444591950.086,49302860367348.516,35899918387404.984,1.0880564202718426,0.8088051873323209,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
2025-03-18 12:00:00+00:00,123.4774398803711,123.70423889160156,121.99766540527344,122.37488555908203,25219072,-14070249.761279887,-35996448.52887545,0.22103950214187332,113948379.02070263,-23390522.080167077,1024930667.015314,960968670.7224633,37982793.00690088,-3898420.3466945128,85410888.91794284,40040361.28010263,0.35610549261894736,-0.0441866848223487,0.49966430184725646,0.34310334184069197,1.0,1.0,1.0,1.0,-16293114.262953287,0.011656773490744524,53501118.83979719,-109593455.25274244,617662881.9344131,564099623.2323126,17833706.2799324,-18265575.875457074,51471906.827867754,23504150.968013022,97806300.41255608,97769629.07561149,140277549.1361547,107592040.71589686,0.16719888816188747,-0.20703135437712794,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9460346719265972e-06,1.4623971840378417e-06,40915247357612.06,20457623678806.03,11627267601547.66,1.363466686659576e-06,65903444591950.086,49302860367348.516,35899918387404.984,1.0880564202718426,0.8088051873323209,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
2025-03-18 16:00:00+00:00,122.410888671875,124.32194519042969,122.410888671875,124.22608947753906,0,0.0,-35996448.52887545,0.9498415080585352,-91914020.95064655,-23390522.080167077,1024930667.015314,960968670.7224633,-30638006.98354885,-3898420.3466945128,85410888.91794284,40040361.28010263,-0.8053979204121732,-0.0441866848223487,0.49966430184725646,0.34310334184069197,0.0,1.0,1.0,1.0,0.0,0.011656773490744524,-74630071.3655616,-109593455.25274244,617662881.9344131,564099623.2323126,-24876690.4551872,-18265575.875457074,51471906.827867754,23504150.968013022,30100805.241451584,97769629.07561149,140277549.1361547,107592040.71589686,-0.6539470654897138,-0.20703135437712794,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151273188939022.88,50424396313007.625,40915247357612.06,20457623678806.03,11627267601547.66,87337616355117.98,65903444591950.086,49302860367348.516,35899918387404.984,1.1547005383792515,0.8088051873323209,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
2025-03-18 20:00:00+00:00,124.16754913330078,125.45672607421875,123.56474304199219,125.30264282226562,15058688,12605926.44870837,-23390522.080167077,0.9185599186565381,-1464323.3125715163,-23390522.080167077,1024930667.015314,960968670.7224633,-488107.7708571721,-3898420.3466945128,85410888.91794284,40040361.28010263,-0.036355629324260244,-0.0441866848223487,0.49966430184725646,0.34310334184069197,1.0,1.0,1.0,1.0,9034447.67782691,0.011656773490744524,-7258666.58512637,-109593455.25274244,617662881.9344131,564099623.2323126,-2419555.5283754566,-18265575.875457074,51471906.827867754,23504150.968013022,12835966.468567085,97769629.07561149,140277549.1361547,107592040.71589686,-0.18021524993262708,-0.20703135437712794,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5927771595054366e-06,50424396313007.625,40915247357612.06,20457623678806.03,11627267601547.66,87337616355117.98,65903444591950.086,49302860367348.516,35899918387404.984,-0.5773502691896257,0.8088051873323209,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
2025-03-19 00:00:00+00:00,125.31700134277344,126.48322296142578,124.31019592285156,126.48322296142578,0,0.0,-23390522.080167077,0.9999999999539813,12605926.44870837,126554305.46941099,1024930667.015314,960968670.7224633,4201975.48290279,21092384.244901832,85410888.91794284,40040361.28010263,0.837119837313076,0.3777249036036189,0.49966430184725646,0.34310334184069197,0.0,0.0,1.0,1.0,0.0,0.011656773490744524,9034447.677826917,62535566.5176241,617662881.9344131,564099623.2323126,3011482.559275639,10422594.419604016,51471906.827867754,23504150.968013022,5216040.798772462,62475765.602430314,140277549.1361547,107592040.71589686,0.5999491906484096,0.18664904956850062,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94218295206649.48,81830494715224.12,40915247357612.06,20457623678806.03,11627267601547.66,76393636015749.69,65903444591950.086,49302860367348.516,35899918387404.984,0.162157492920895,0.8088051873323209,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
2025-03-19 04:00:00+00:00,126.5125732421875,126.5125732421875,125.54376220703125,125.79134368896484,52674048,-25752143.95741882,-49142666.0375859,0.25555188052550265,-13146217.508710451,-105060238.45935702,1024930667.015314,960968670.7224633,-4382072.502903484,-17510039.74322617,85410888.91794284,40040361.28010263,-0.1940895685759756,-0.5777135873624852,0.49966430184725646,0.34310334184069197,1.0,1.0,1.0,1.0,-39213095.97327243,0.011656773490744524,-30178648.29544551,-104808719.6610071,617662881.9344131,564099623.2323126,-10059549.43181517,-17468119.943501186,51471906.827867754,23504150.968013022,25648630.921932828,26295029.913907368,140277549.1361547,107592040.71589686,-0.44555483917622213,-0.5763305158083497,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.255624765724321e-07,31406098402216.496,40915247357612.06,20457623678806.03,11627267601547.66,54396958100146.71,65903444591950.086,49302860367348.516,35899918387404.984,-0.5773502691896257,-0.6208362493181387,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
2025-03-19 08:00:00+00:00,125.76032257080078,129.1690216064453,125.76032257080078,128.6225128173828,122806400,83427870.97081783,34285204.933231935,0.8396723255905956,57675727.01339901,56211403.70082748,1024930667.015314,960968670.7224633,19225242.337799672,9368567.283471247,85410888.91794284,40040361.28010263,0.32867323779227536,0.26052961888164866,0.49966430184725646,0.34310334184069197,0.0,0.0,1.0,1.0,103117135.48540892,0.011656773490744524,63904039.5121365,56645372.927010104,617662881.9344131,564099623.2323126,21301346.504045498,9440895.487835018,51471906.827867754,23504150.968013022,73517237.56327154,48955314.92714751,140277549.1361547,107592040.71589686,0.36416615207260294,0.26254098721013713,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4248759869143458e-06,31406098402216.496,40915247357612.06,20457623678806.03,11627267601547.66,54396958100146.71,65903444591950.086,49302860367348.516,35899918387404.984,-0.5773502691896257,-0.6208362493181387,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
2025-03-19 12:00:00+00:00,128.61447143554688,132.38803100585938,127.1087417602539,132.2289581298828,498861312,468798438.0145595,503083642.94779146,0.9698685052716209,526474165.0279585,539080091.4766669,1024930667.015314,960968670.7224633,175491388.34265283,89846681.91277783,85410888.91794284,40040361.28010263,0.7807230639667911,0.781954948013998,0.49966430184725646,0.34310334184069197,0.0,0.0,1.0,1.0,341547411.1424667,0.011656773490744524,405451450.65460324,414485898.3324301,617662881.9344131,564099623.2323126,135150483.5515344,69080983.05540502,51471906.827867754,23504150.968013022,192390858.63419515,141614951.54826197,140277549.1361547,107592040.71589686,0.6012551419840931,0.601226615873087,0.30111704392401756,0.20140559391657747,0.49966430184725646,0.34310334184069197,0.32893739368840835,0.015398311852150182,0.07334469598381999,0.03835880771836936,7.210347220836469,11.652392180192896,2.585623644465516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.250656010226254e-07,8.918346881695574e-07,40915247357612.06,20457623678806.03,11627267601547.66,5.031890365029255e-07,65903444591950.086,49302860367348.516,35899918387404.984,-0.9274374232155933,-0.6208362493181387,-0.4149378662085571,-0.32388005666405456,1.5073219126917888e-19,-1.697458885317768,0.49966430184725646,-0.029219705563294285,-0.11313682652999218
