symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
DOGEUSDT,2022109701.0,197539896.69069,153385266383.70520000,2026-03-13 17:00:00+00:00
DOGEUSDT,1959520384.0,188231528.08704,153385266383.70520000,2026-03-13 18:00:00+00:00
DOGEUSDT,1956848248.0,187483752.0665619,153385266383.70520000,2026-03-13 19:00:00+00:00
DOGEUSDT,1938804250.0,186105819.9575,153385266383.70520000,2026-03-13 20:00:00+00:00
DOGEUSDT,1938745546.0,187088945.189,153385266383.70520000,2026-03-13 21:00:00+00:00
DOGEUSDT,1918057750.0,184486524.1677325,153385266383.70520000,2026-03-13 22:00:00+00:00
DOGEUSDT,1924789612.0,184645067.47916,153385266383.70520000,2026-03-13 23:00:00+00:00
DOGEUSDT,1918636970.0,184021441.0624523,153385266383.70520000,2026-03-14 00:00:00+00:00
DOGEUSDT,1921364788.0,183261656.41693223,153385266383.70520000,2026-03-14 01:00:00+00:00
DOGEUSDT,1922422219.0,183899044.03909534,153385266383.70520000,2026-03-14 02:00:00+00:00
DOGEUSDT,1912467169.0,183165338.25665852,169110413126.57907000,2026-03-14 03:00:00+00:00
DOGEUSDT,1901769536.0,182550287.2297792,169110413126.57907000,2026-03-14 04:00:00+00:00
DOGEUSDT,1886452401.0,180514630.25169,169110413126.57907000,2026-03-14 05:00:00+00:00
DOGEUSDT,1889588449.0,180723923.95983556,169110413126.57907000,2026-03-14 06:00:00+00:00
DOGEUSDT,1868829091.0,176984655.8195185,169110413126.57907000,2026-03-14 07:00:00+00:00
DOGEUSDT,1871333122.0,176990780.2454161,169110413126.57907000,2026-03-14 08:00:00+00:00
DOGEUSDT,1890313930.0,178471721.324234,169110413126.57907000,2026-03-14 09:00:00+00:00
DOGEUSDT,1877002492.0,176813634.7464,169110413126.57907000,2026-03-14 10:00:00+00:00
DOGEUSDT,1874173084.0,176861684.4649494,169110413126.57907000,2026-03-14 11:00:00+00:00
DOGEUSDT,1842947178.0,175467000.81738,169110413126.57907000,2026-03-14 12:00:00+00:00
DOGEUSDT,1848248488.0,175417263.99608,169110413126.57907000,2026-03-14 13:00:00+00:00
DOGEUSDT,1847309481.0,175883702.69502595,169110413126.57907000,2026-03-14 14:00:00+00:00
DOGEUSDT,1857140640.0,175549821.8488416,169110413126.57907000,2026-03-14 15:00:00+00:00
DOGEUSDT,1875118408.0,177917891.2213884,169110413126.57907000,2026-03-14 16:00:00+00:00
DOGEUSDT,1870809701.0,178241918.08949128,169110413126.57907000,2026-03-14 17:00:00+00:00
DOGEUSDT,1856215536.0,175653676.17168,169110413126.57907000,2026-03-14 18:00:00+00:00
DOGEUSDT,1845590395.0,174670643.00214925,169110413126.57907000,2026-03-14 19:00:00+00:00
DOGEUSDT,1848259350.0,175099100.518755,169110413126.57907000,2026-03-14 20:00:00+00:00
DOGEUSDT,1845511247.0,174904120.66878185,169110413126.57907000,2026-03-14 21:00:00+00:00
DOGEUSDT,1850725451.0,175800410.59049,169110413126.57907000,2026-03-14 22:00:00+00:00
DOGEUSDT,1862766865.0,177130501.19285,169110413126.57907000,2026-03-14 23:00:00+00:00
DOGEUSDT,1849969234.0,177560047.07932,169110413126.57907000,2026-03-15 00:00:00+00:00
DOGEUSDT,1847511892.0,176490243.00123012,169110413126.57907000,2026-03-15 01:00:00+00:00
DOGEUSDT,1827864813.0,174589019.41584265,169110413126.57907000,2026-03-15 02:00:00+00:00
DOGEUSDT,1873420821.0,181457517.42757332,169124293126.57907000,2026-03-15 03:00:00+00:00
DOGEUSDT,1860819437.0,178545624.98015,169124293126.57907000,2026-03-15 04:00:00+00:00
DOGEUSDT,1851715203.0,177635039.42379,169124293126.57907000,2026-03-15 05:00:00+00:00
DOGEUSDT,1854089178.0,178078702.07120988,169124293126.57907000,2026-03-15 06:00:00+00:00
DOGEUSDT,1858380314.0,177780540.36977136,169124293126.57907000,2026-03-15 07:00:00+00:00
DOGEUSDT,1866446967.0,178357672.16652,169124293126.57907000,2026-03-15 08:00:00+00:00
DOGEUSDT,1876492839.0,180918172.73200828,169124293126.57907000,2026-03-15 09:00:00+00:00
DOGEUSDT,1873618013.0,180073427.22943,169124293126.57907000,2026-03-15 10:00:00+00:00
DOGEUSDT,1872094965.0,180076814.68335,169124293126.57907000,2026-03-15 11:00:00+00:00
DOGEUSDT,1878757096.0,180999458.62864,169124293126.57907000,2026-03-15 12:00:00+00:00
DOGEUSDT,1880130202.0,181097713.3040238,169124293126.57907000,2026-03-15 13:00:00+00:00
DOGEUSDT,1830274314.0,174359050.91872147,169124293126.57907000,2026-03-15 14:00:00+00:00
DOGEUSDT,1827868434.0,174604810.76493883,169124293126.57907000,2026-03-15 15:00:00+00:00
DOGEUSDT,1829269799.0,173652582.01907,169124293126.57907000,2026-03-15 16:00:00+00:00
DOGEUSDT,1831205483.0,173341911.02078,169124293126.57907000,2026-03-15 17:00:00+00:00
DOGEUSDT,1842349446.0,175815407.63178,169124293126.57907000,2026-03-15 18:00:00+00:00
DOGEUSDT,1852145727.0,175461377.03764796,169124293126.57907000,2026-03-15 19:00:00+00:00
DOGEUSDT,1849729154.0,175983231.71156,169124293126.57907000,2026-03-15 20:00:00+00:00
DOGEUSDT,1849821134.0,176303252.09097818,169124293126.57907000,2026-03-15 21:00:00+00:00
DOGEUSDT,1839153753.0,176227712.61246,169124293126.57907000,2026-03-15 22:00:00+00:00
DOGEUSDT,1858832360.0,180808623.6572,169124293126.57907000,2026-03-15 23:00:00+00:00
DOGEUSDT,1874246297.0,182465505.19537878,169124293126.57907000,2026-03-16 00:00:00+00:00
