open_time,close_time,open,high,low,close,trade_count
2026-03-13 16:20:00+00:00,2026-03-13 16:24:59.999000+00:00,9.234,9.2506471,9.22502701,9.227,300
2026-03-13 16:25:00+00:00,2026-03-13 16:29:59.999000+00:00,9.229,9.24755832,9.199,9.242,300
2026-03-13 16:30:00+00:00,2026-03-13 16:34:59.999000+00:00,9.243,9.27305647,9.243,9.27197734,300
2026-03-13 16:35:00+00:00,2026-03-13 16:39:59.999000+00:00,9.27234018,9.302,9.26559861,9.29324303,300
2026-03-13 16:40:00+00:00,2026-03-13 16:44:59.999000+00:00,9.29393828,9.30594376,9.285,9.297,300
2026-03-13 16:45:00+00:00,2026-03-13 16:49:59.999000+00:00,9.3,9.31164219,9.2888074,9.31000243,300
2026-03-13 16:50:00+00:00,2026-03-13 16:54:59.999000+00:00,9.31000243,9.32799486,9.304,9.318,300
2026-03-13 16:55:00+00:00,2026-03-13 16:59:59.999000+00:00,9.31794747,9.31794747,9.27917431,9.282,300
2026-03-13 17:00:00+00:00,2026-03-13 17:04:59.999000+00:00,9.282,9.29222591,9.275,9.28004891,300
2026-03-13 17:05:00+00:00,2026-03-13 17:09:59.999000+00:00,9.28004891,9.29668947,9.273,9.293,300
2026-03-13 17:10:00+00:00,2026-03-13 17:14:59.999000+00:00,9.293,9.29415922,9.275,9.282,300
2026-03-13 17:15:00+00:00,2026-03-13 17:19:59.999000+00:00,9.284,9.30440668,9.2707025,9.28953595,300
2026-03-13 17:20:00+00:00,2026-03-13 17:24:59.999000+00:00,9.2886067,9.29405552,9.261,9.262,300
2026-03-13 17:25:00+00:00,2026-03-13 17:29:59.999000+00:00,9.263,9.268406,9.21186197,9.22407887,300
2026-03-13 17:30:00+00:00,2026-03-13 17:34:59.999000+00:00,9.22415193,9.226,9.20732947,9.211,300
2026-03-13 17:35:00+00:00,2026-03-13 17:39:59.999000+00:00,9.211,9.214,9.181,9.18493679,300
