open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_vol,taker_buy_quote_vol
2026-03-13 16:30:00+00:00,9.244,9.303,9.24,9.299,383106.56,2026-03-13 16:44:59.999000+00:00,3557567.96828,6371,128550.82,1193403.17745
2026-03-13 16:45:00+00:00,9.299,9.327,9.277,9.283,137959.03,2026-03-13 16:59:59.999000+00:00,1283407.11528,4675,60350.72,561521.18296
2026-03-13 17:00:00+00:00,9.282,9.295,9.273,9.286,82125.39,2026-03-13 17:14:59.999000+00:00,762422.72347,3692,44602.83,414091.00004
2026-03-13 17:15:00+00:00,9.287,9.304,9.211,9.223,224780.5,2026-03-13 17:29:59.999000+00:00,2078875.26822,5923,84168.35,778286.43515
2026-03-13 17:30:00+00:00,9.223,9.226,9.136,9.151,345896.83,2026-03-13 17:44:59.999000+00:00,3174931.52083,7189,116726.18,1071527.94125
2026-03-13 17:45:00+00:00,9.151,9.159,9.095,9.143,401705.17,2026-03-13 17:59:59.999000+00:00,3663884.06807,9925,198210.71,1808136.61804
2026-03-13 18:00:00+00:00,9.142,9.171,9.132,9.166,219298.2,2026-03-13 18:14:59.999000+00:00,2005646.3983,6470,141278.05,1292135.00279
2026-03-13 18:15:00+00:00,9.166,9.172,9.106,9.153,153880.4,2026-03-13 18:29:59.999000+00:00,1404962.49117,4875,83540.16,762801.33618
2026-03-13 18:30:00+00:00,9.154,9.181,9.146,9.169,135198.15,2026-03-13 18:44:59.999000+00:00,1239099.64134,3404,79760.7,731248.15482
2026-03-13 18:45:00+00:00,9.168,9.17,9.121,9.124,97045.63,2026-03-13 18:59:59.999000+00:00,887219.05226,2756,27515.22,251502.48454
2026-03-13 19:00:00+00:00,9.123,9.142,9.103,9.128,129128.95,2026-03-13 19:14:59.999000+00:00,1178540.28639,4073,80253.51,732622.39509
2026-03-13 19:15:00+00:00,9.129,9.139,9.106,9.11,69855.85,2026-03-13 19:29:59.999000+00:00,637388.17241,2516,38646.93,352593.96556
2026-03-13 19:30:00+00:00,9.111,9.127,9.11,9.126,74565.76,2026-03-13 19:44:59.999000+00:00,679866.92322,2565,44430.96,405149.54791
2026-03-13 19:45:00+00:00,9.125,9.16,9.119,9.14,303929.75,2026-03-13 19:59:59.999000+00:00,2779425.27289,3782,245332.81,2243899.27966
2026-03-13 20:00:00+00:00,9.141,9.159,9.125,9.159,89397.18,2026-03-13 20:14:59.999000+00:00,816907.35754,2838,43072.45,393608.59144
2026-03-13 20:15:00+00:00,9.158,9.169,9.149,9.159,76451.42,2026-03-13 20:29:59.999000+00:00,700336.92523,2428,45265.38,414678.59928
2026-03-13 20:30:00+00:00,9.16,9.169,9.154,9.161,65821.81,2026-03-13 20:44:59.999000+00:00,603036.8945,1704,40425.07,370374.55793
2026-03-13 20:45:00+00:00,9.16,9.172,9.154,9.172,69213.41,2026-03-13 20:59:59.999000+00:00,634304.01972,1865,31253.43,286420.95603
