open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_vol,taker_buy_quote_vol
2026-03-13 16:20:00+00:00,232.88,233.5,231.97,232.97,6721.748,2026-03-13 16:24:59.999000+00:00,1564422.23835,9397,3695.724,860555.00346
2026-03-13 16:25:00+00:00,232.96,233.37,232.34,233.17,4414.102,2026-03-13 16:29:59.999000+00:00,1028294.58393,7868,2538.646,591426.27611
2026-03-13 16:30:00+00:00,233.17,234.86,233.03,234.83,4643.966,2026-03-13 16:34:59.999000+00:00,1088533.08022,8739,2684.373,629257.82144
2026-03-13 16:35:00+00:00,234.83,236.49,234.8,236.07,8143.308,2026-03-13 16:39:59.999000+00:00,1920101.06309,11169,4338.86,1022984.45259
2026-03-13 16:40:00+00:00,236.09,236.7,235.12,236.44,4326.155,2026-03-13 16:44:59.999000+00:00,1021456.80612,9360,2415.608,570475.14653
2026-03-13 16:45:00+00:00,236.45,236.64,235.38,235.81,3173.143,2026-03-13 16:49:59.999000+00:00,748771.58081,8050,1290.873,304615.18325
2026-03-13 16:50:00+00:00,235.82,236.45,235.2,236.15,2802.923,2026-03-13 16:54:59.999000+00:00,660858.24393,6424,1196.983,282215.22035
2026-03-13 16:55:00+00:00,236.15,236.22,235.16,235.87,3178.709,2026-03-13 16:59:59.999000+00:00,748964.96785,7604,1659.011,390949.30743
2026-03-13 17:00:00+00:00,235.87,237.55,235.69,236.76,6059.664,2026-03-13 17:04:59.999000+00:00,1435095.50517,11693,2805.751,664341.67042
2026-03-13 17:05:00+00:00,236.77,239.64,235.69,238.9,10195.806,2026-03-13 17:09:59.999000+00:00,2428899.7891,14188,6597.669,1572921.78133
2026-03-13 17:10:00+00:00,238.9,238.9,236.61,237.21,8939.921,2026-03-13 17:14:59.999000+00:00,2121850.33619,20833,3094.059,734329.77891
2026-03-13 17:15:00+00:00,237.21,237.97,235.94,236.47,2646.111,2026-03-13 17:19:59.999000+00:00,626885.43935,6770,945.388,224070.36466
2026-03-13 17:20:00+00:00,236.47,237.0,235.99,236.78,2140.346,2026-03-13 17:24:59.999000+00:00,506443.86346,4857,982.37,232501.97672
2026-03-13 17:25:00+00:00,236.78,237.14,234.32,234.51,6037.583,2026-03-13 17:29:59.999000+00:00,1420589.72912,10124,2192.356,516189.1942
2026-03-13 17:30:00+00:00,234.51,235.68,234.21,234.89,4377.055,2026-03-13 17:34:59.999000+00:00,1027877.67744,6931,1825.041,428610.12539
2026-03-13 17:35:00+00:00,234.89,235.11,234.1,234.78,3037.745,2026-03-13 17:39:59.999000+00:00,712467.94471,5988,1613.202,378374.2623
2026-03-13 17:40:00+00:00,234.79,235.02,233.62,233.78,5231.393,2026-03-13 17:44:59.999000+00:00,1224943.64708,7832,2344.489,549180.54728
2026-03-13 17:45:00+00:00,233.77,234.16,232.54,232.9,5413.196,2026-03-13 17:49:59.999000+00:00,1262348.12934,10068,2648.054,617611.19512
2026-03-13 17:50:00+00:00,232.9,233.4,231.68,233.25,5781.812,2026-03-13 17:54:59.999000+00:00,1345212.19671,10177,3081.551,717321.68381
2026-03-13 17:55:00+00:00,233.25,234.46,233.11,234.37,4197.546,2026-03-13 17:59:59.999000+00:00,982051.44631,7146,2619.806,612887.68726
2026-03-13 18:00:00+00:00,234.37,234.4,232.89,233.09,2605.26,2026-03-13 18:04:59.999000+00:00,609162.92494,6091,1006.928,235448.56634
2026-03-13 18:05:00+00:00,233.08,233.08,231.81,231.86,2576.296,2026-03-13 18:09:59.999000+00:00,598813.53617,5769,1237.191,287653.31245
2026-03-13 18:10:00+00:00,231.85,232.5,231.14,232.4,3161.589,2026-03-13 18:14:59.999000+00:00,732847.78472,7399,1507.534,349568.97802
2026-03-13 18:15:00+00:00,232.4,232.97,230.64,231.23,3761.28,2026-03-13 18:19:59.999000+00:00,871697.82187,7198,1738.39,402966.04227
2026-03-13 18:20:00+00:00,231.25,231.73,230.36,231.04,3908.593,2026-03-13 18:24:59.999000+00:00,902783.14273,7241,1096.766,253379.08311
2026-03-13 18:25:00+00:00,231.04,232.34,230.92,232.28,4123.32,2026-03-13 18:29:59.999000+00:00,955589.74247,6340,2114.504,490141.0517
2026-03-13 18:30:00+00:00,232.28,232.74,231.91,232.3,2770.579,2026-03-13 18:34:59.999000+00:00,643835.66495,5524,1296.918,301440.37063
2026-03-13 18:35:00+00:00,232.31,232.59,231.5,231.81,1656.449,2026-03-13 18:39:59.999000+00:00,384502.95989,3877,592.221,137465.62113
2026-03-13 18:40:00+00:00,231.84,232.19,231.01,231.6,3651.449,2026-03-13 18:44:59.999000+00:00,845238.2444,4099,2347.782,543481.65479
2026-03-13 18:45:00+00:00,231.59,231.76,231.06,231.17,1154.291,2026-03-13 18:49:59.999000+00:00,267060.66765,2967,470.39,108846.94186
2026-03-13 18:50:00+00:00,231.17,232.03,231.03,231.88,2174.937,2026-03-13 18:54:59.999000+00:00,503597.45616,3703,1137.32,263419.29726
2026-03-13 18:55:00+00:00,231.87,232.37,231.58,231.85,1710.014,2026-03-13 18:59:59.999000+00:00,396546.0341,2520,704.623,163385.25051
2026-03-13 19:00:00+00:00,231.84,231.92,230.59,230.69,3834.372,2026-03-13 19:04:59.999000+00:00,886403.36438,5256,1451.419,335593.31303
2026-03-13 19:05:00+00:00,230.71,231.92,230.65,231.32,2565.712,2026-03-13 19:09:59.999000+00:00,593390.58351,5137,1206.699,279009.82498
2026-03-13 19:10:00+00:00,231.32,231.81,231.14,231.73,1535.422,2026-03-13 19:14:59.999000+00:00,355384.49595,3503,870.934,201622.68677
2026-03-13 19:15:00+00:00,231.73,233.1,231.73,232.25,4248.705,2026-03-13 19:19:59.999000+00:00,987610.86265,5380,2898.354,673556.85512
