open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_vol,taker_buy_quote_vol
2026-03-13 17:00:00+00:00,0.9538,0.9602,0.9316,0.9361,2817930.4,2026-03-13 17:59:59.999000+00:00,2657856.88623,27160,1340062.0,1263773.45003
2026-03-13 18:00:00+00:00,0.936,0.9455,0.9322,0.9383,1665903.2,2026-03-13 18:59:59.999000+00:00,1565135.47778,19160,941562.0,885015.57487
2026-03-13 19:00:00+00:00,0.9382,0.9415,0.9341,0.9385,1422456.2,2026-03-13 19:59:59.999000+00:00,1334108.35612,17023,714056.0,669657.80399
2026-03-13 20:00:00+00:00,0.9386,0.9411,0.936,0.9408,717506.4,2026-03-13 20:59:59.999000+00:00,673213.64225,10338,425642.3,399377.52943
2026-03-13 21:00:00+00:00,0.9408,0.9481,0.9335,0.937,1376530.9,2026-03-13 21:59:59.999000+00:00,1295645.34582,14295,734280.4,691321.61483
2026-03-13 22:00:00+00:00,0.9371,0.9387,0.9194,0.9321,2985822.5,2026-03-13 22:59:59.999000+00:00,2766899.10202,22776,1500118.6,1389353.42504
2026-03-13 23:00:00+00:00,0.932,0.9437,0.9315,0.9334,2062921.2,2026-03-13 23:59:59.999000+00:00,1930762.49098,18310,972513.7,910253.04323
2026-03-14 00:00:00+00:00,0.9333,0.9337,0.9221,0.923,1277842.7,2026-03-14 00:59:59.999000+00:00,1186758.61141,13984,580864.8,539614.64543
2026-03-14 01:00:00+00:00,0.923,0.9293,0.9206,0.9272,907771.8,2026-03-14 01:59:59.999000+00:00,839706.60173,12316,444945.9,411673.49309
2026-03-14 02:00:00+00:00,0.9272,0.9273,0.9224,0.9261,1069037.5,2026-03-14 02:59:59.999000+00:00,988569.31415,8737,435258.4,402638.57862
2026-03-14 03:00:00+00:00,0.9262,0.9312,0.9239,0.9279,827571.7,2026-03-14 03:59:59.999000+00:00,768090.08037,8359,357969.9,332239.98403
2026-03-14 04:00:00+00:00,0.928,0.9336,0.9211,0.9221,1430384.2,2026-03-14 04:59:59.999000+00:00,1325907.27201,10971,605850.6,561823.94718
2026-03-14 05:00:00+00:00,0.9221,0.9226,0.9113,0.9181,1642251.4,2026-03-14 05:59:59.999000+00:00,1506962.32872,12635,611140.9,561249.10144
2026-03-14 06:00:00+00:00,0.9181,0.9195,0.9064,0.9116,2697870.8,2026-03-14 06:59:59.999000+00:00,2458763.5075,17919,1204543.8,1098869.33107
2026-03-14 07:00:00+00:00,0.9117,0.9126,0.9071,0.9106,1043144.3,2026-03-14 07:59:59.999000+00:00,949223.62904,9966,521649.9,474753.75472
2026-03-14 08:00:00+00:00,0.9106,0.9113,0.908,0.9097,617171.9,2026-03-14 08:59:59.999000+00:00,561438.39683,8438,290880.0,264655.01691
2026-03-14 09:00:00+00:00,0.9097,0.9139,0.9085,0.9099,919278.7,2026-03-14 09:59:59.999000+00:00,837842.18577,9452,524914.9,478512.38077
2026-03-14 10:00:00+00:00,0.9099,0.9105,0.9075,0.9084,666620.0,2026-03-14 10:59:59.999000+00:00,605966.70571,6986,295200.3,268372.17453
2026-03-14 11:00:00+00:00,0.9084,0.9158,0.9068,0.9149,1144836.8,2026-03-14 11:59:59.999000+00:00,1044284.82244,9997,557877.7,508869.63886
2026-03-14 12:00:00+00:00,0.9149,0.9157,0.9105,0.9121,1263995.7,2026-03-14 12:59:59.999000+00:00,1153789.04858,9753,489638.1,447251.34466
2026-03-14 13:00:00+00:00,0.9121,0.9177,0.9092,0.9161,731770.6,2026-03-14 13:59:59.999000+00:00,668556.02838,7928,371438.7,339372.91851
2026-03-14 14:00:00+00:00,0.9162,0.9167,0.9086,0.9098,1083067.9,2026-03-14 14:59:59.999000+00:00,988966.98731,10985,427875.9,390658.05493
2026-03-14 15:00:00+00:00,0.9099,0.9111,0.9054,0.9093,819686.6,2026-03-14 15:59:59.999000+00:00,744401.78296,9707,361755.5,328513.74022
2026-03-14 16:00:00+00:00,0.9093,0.9167,0.9078,0.9152,819916.9,2026-03-14 16:59:59.999000+00:00,748871.46948,8310,421804.2,385367.41724
2026-03-14 17:00:00+00:00,0.9152,0.916,0.9103,0.9118,672045.1,2026-03-14 17:59:59.999000+00:00,614145.50015,6837,315654.9,288407.19519
2026-03-14 18:00:00+00:00,0.9117,0.9143,0.9102,0.9121,590112.4,2026-03-14 18:59:59.999000+00:00,537980.76712,6877,249564.3,227545.63184
2026-03-14 19:00:00+00:00,0.9121,0.9158,0.9108,0.9114,436718.4,2026-03-14 19:59:59.999000+00:00,398956.96542,5339,236433.6,216067.12334
2026-03-14 20:00:00+00:00,0.9114,0.913,0.9096,0.9122,385071.9,2026-03-14 20:59:59.999000+00:00,350773.65638,5642,180005.4,164008.11104
2026-03-14 21:00:00+00:00,0.9122,0.9133,0.909,0.913,622941.6,2026-03-14 21:59:59.999000+00:00,567551.36502,7697,291715.7,265802.9524
2026-03-14 22:00:00+00:00,0.9129,0.9149,0.9108,0.9123,550519.4,2026-03-14 22:59:59.999000+00:00,502450.819,8897,266130.6,242953.0306
2026-03-14 23:00:00+00:00,0.9123,0.9216,0.9123,0.9198,1295801.8,2026-03-14 23:59:59.999000+00:00,1189272.99057,12221,706846.5,648820.18085
2026-03-15 00:00:00+00:00,0.9198,0.9201,0.9101,0.911,1220975.2,2026-03-15 00:59:59.999000+00:00,1115913.88778,13276,450965.6,412192.23109
2026-03-15 01:00:00+00:00,0.911,0.9243,0.9094,0.922,1201705.0,2026-03-15 01:59:59.999000+00:00,1101948.22733,9759,715123.2,655336.35086
2026-03-15 02:00:00+00:00,0.922,0.933,0.9218,0.9313,1603332.3,2026-03-15 02:59:59.999000+00:00,1486698.5632,15752,647869.4,600756.41369
2026-03-15 03:00:00+00:00,0.9314,0.9365,0.9215,0.9267,1132069.7,2026-03-15 03:59:59.999000+00:00,1052201.31234,12212,520789.7,484111.89729
2026-03-15 04:00:00+00:00,0.9268,0.9309,0.9203,0.9238,640311.4,2026-03-15 04:59:59.999000+00:00,592679.9736,10337,307770.3,284789.29928
2026-03-15 05:00:00+00:00,0.9239,0.9276,0.9211,0.9227,602870.9,2026-03-15 05:59:59.999000+00:00,557104.10555,8873,280811.0,259509.77801
2026-03-15 06:00:00+00:00,0.9227,0.9232,0.9156,0.9203,1411977.3,2026-03-15 06:59:59.999000+00:00,1297537.51095,11521,733129.3,673978.69295
2026-03-15 07:00:00+00:00,0.9203,0.9266,0.9195,0.9258,545535.8,2026-03-15 07:59:59.999000+00:00,503369.67038,6496,274635.3,253427.25071
2026-03-15 08:00:00+00:00,0.9259,0.9278,0.9233,0.9249,523722.2,2026-03-15 08:59:59.999000+00:00,484619.10618,6934,214917.1,198865.94241
2026-03-15 09:00:00+00:00,0.925,0.9279,0.9207,0.9217,901520.6,2026-03-15 09:59:59.999000+00:00,833599.01563,10312,364282.3,337029.85195
2026-03-15 10:00:00+00:00,0.9218,0.9282,0.9205,0.9262,638505.8,2026-03-15 10:59:59.999000+00:00,590352.562,7567,345727.5,319686.56187
2026-03-15 11:00:00+00:00,0.9263,0.9304,0.9248,0.9276,850247.4,2026-03-15 11:59:59.999000+00:00,788677.40547,7784,539968.9,500919.91571
2026-03-15 12:00:00+00:00,0.9276,0.934,0.9262,0.9292,1064388.3,2026-03-15 12:59:59.999000+00:00,989686.24175,10885,475946.8,442401.60963
2026-03-15 13:00:00+00:00,0.9293,0.9299,0.9157,0.9209,1569350.5,2026-03-15 13:59:59.999000+00:00,1443765.97727,15720,711653.8,654743.48373
2026-03-15 14:00:00+00:00,0.9209,0.9249,0.9176,0.9216,888092.7,2026-03-15 14:59:59.999000+00:00,818175.41022,10036,441076.6,406341.6581
2026-03-15 15:00:00+00:00,0.9217,0.9227,0.9168,0.9189,633205.3,2026-03-15 15:59:59.999000+00:00,582030.48292,7361,281518.2,258900.49508
2026-03-15 16:00:00+00:00,0.9189,0.9241,0.9175,0.92,930224.2,2026-03-15 16:59:59.999000+00:00,856354.258,10197,463233.0,426500.5809
2026-03-15 17:00:00+00:00,0.92,0.9302,0.9194,0.9261,883209.4,2026-03-15 17:59:59.999000+00:00,817090.91836,9317,453008.5,419003.35468
2026-03-15 18:00:00+00:00,0.9261,0.9304,0.9194,0.9207,1275099.7,2026-03-15 18:59:59.999000+00:00,1180022.75567,11169,752446.7,696560.66381
2026-03-15 19:00:00+00:00,0.9208,0.9263,0.9191,0.9249,777511.8,2026-03-15 19:59:59.999000+00:00,717677.60637,8203,355922.5,328397.22003
2026-03-15 20:00:00+00:00,0.9249,0.9299,0.9213,0.9255,735492.9,2026-03-15 20:59:59.999000+00:00,681091.82449,12686,379794.7,351720.67962
2026-03-15 21:00:00+00:00,0.9254,0.9327,0.9228,0.9313,730231.1,2026-03-15 21:59:59.999000+00:00,678014.35451,8355,370602.5,343989.4363
2026-03-15 22:00:00+00:00,0.9313,0.939,0.9224,0.9357,2326656.2,2026-03-15 22:59:59.999000+00:00,2167923.08541,22818,981349.1,914511.64131
2026-03-15 23:00:00+00:00,0.9357,0.9377,0.9239,0.9343,1921266.8,2026-03-15 23:59:59.999000+00:00,1789938.96987,19367,963358.2,898025.91104
2026-03-16 00:00:00+00:00,0.9345,0.9381,0.9283,0.9336,1597486.4,2026-03-16 00:59:59.999000+00:00,1492273.15493,14349,849046.9,793479.63175
2026-03-16 01:00:00+00:00,0.9336,0.9393,0.9276,0.9365,1047109.6,2026-03-16 01:59:59.999000+00:00,977490.31495,12207,518839.4,484541.54669
2026-03-16 02:00:00+00:00,0.9364,0.9389,0.9292,0.9349,1150581.6,2026-03-16 02:59:59.999000+00:00,1073651.84721,11114,434736.8,405685.18314
2026-03-16 03:00:00+00:00,0.935,0.9617,0.9327,0.9513,3345240.3,2026-03-16 03:59:59.999000+00:00,3175238.47165,33966,1768873.3,1679392.58887
2026-03-16 04:00:00+00:00,0.9514,0.971,0.9514,0.9674,2288747.7,2026-03-16 04:59:59.999000+00:00,2197122.38882,25149,1248054.1,1198282.68278
2026-03-16 05:00:00+00:00,0.9674,0.9882,0.9643,0.9843,3030472.6,2026-03-16 05:59:59.999000+00:00,2958189.83371,29134,1575658.0,1539385.92384
2026-03-16 06:00:00+00:00,0.9844,0.9898,0.9659,0.9887,4227562.9,2026-03-16 06:59:59.999000+00:00,4139911.40958,39319,1957101.6,1917403.7857
2026-03-16 07:00:00+00:00,0.9888,1.0071,0.9884,0.9907,4407956.6,2026-03-16 07:59:59.999000+00:00,4388818.92353,35184,2319428.4,2308971.088
2026-03-16 08:00:00+00:00,0.9908,1.0019,0.9823,0.9851,3374407.8,2026-03-16 08:59:59.999000+00:00,3347801.07732,31398,1593403.1,1580942.1201
2026-03-16 09:00:00+00:00,0.9851,0.995,0.9844,0.9855,1758849.4,2026-03-16 09:59:59.999000+00:00,1738600.19209,20564,847773.3,838339.68435
2026-03-16 10:00:00+00:00,0.9854,0.9863,0.9737,0.9815,2893274.0,2026-03-16 10:59:59.999000+00:00,2833586.97465,23189,1148460.5,1125007.65728
2026-03-16 11:00:00+00:00,0.9815,0.986,0.9778,0.9808,1199467.8,2026-03-16 11:59:59.999000+00:00,1177347.75193,13873,558408.4,548139.16955
2026-03-16 12:00:00+00:00,0.9808,0.9899,0.9796,0.9854,2206908.2,2026-03-16 12:59:59.999000+00:00,2173217.94815,19251,1192642.7,1174828.12932
2026-03-16 13:00:00+00:00,0.9855,1.0127,0.9835,1.0106,5220587.1,2026-03-16 13:59:59.999000+00:00,5222988.50154,37686,2672905.6,2676450.51977
2026-03-16 14:00:00+00:00,1.0106,1.0174,0.9838,0.9942,10399385.4,2026-03-16 14:59:59.999000+00:00,10452677.6524,75714,5035282.1,5064183.539
2026-03-16 15:00:00+00:00,0.9941,0.9997,0.9823,0.989,2836157.3,2026-03-16 15:59:59.999000+00:00,2810366.33259,31247,1455505.4,1442270.68641
2026-03-16 16:00:00+00:00,0.9889,1.0142,0.9848,1.0053,2960777.5,2026-03-16 16:59:59.999000+00:00,2963169.55068,33433,1444803.1,1445025.82128
2026-03-16 17:00:00+00:00,1.0053,1.0094,0.9987,1.002,1733488.0,2026-03-16 17:59:59.999000+00:00,1739817.76547,19559,818149.6,821490.63872
2026-03-16 18:00:00+00:00,1.002,1.0139,1.0001,1.0012,1346734.6,2026-03-16 18:59:59.999000+00:00,1354566.19678,20386,666893.8,670931.55755
2026-03-16 19:00:00+00:00,1.0012,1.0129,0.9991,1.0053,1535638.6,2026-03-16 19:59:59.999000+00:00,1543500.41725,19015,790014.0,794376.45821
2026-03-16 20:00:00+00:00,1.0054,1.0171,1.0028,1.0163,1655332.8,2026-03-16 20:59:59.999000+00:00,1674637.27532,17274,873345.6,883333.88562
2026-03-16 21:00:00+00:00,1.0162,1.0289,1.0161,1.0179,2064318.3,2026-03-16 21:59:59.999000+00:00,2107115.60045,21843,1090826.0,1113828.3435
2026-03-16 22:00:00+00:00,1.0177,1.0287,1.0139,1.0194,2950220.7,2026-03-16 22:59:59.999000+00:00,3010354.1831,25599,1255418.3,1281228.58999
2026-03-16 23:00:00+00:00,1.0193,1.0267,1.0072,1.019,1935281.9,2026-03-16 23:59:59.999000+00:00,1969274.15738,17743,1109659.7,1129833.52283
2026-03-17 00:00:00+00:00,1.0191,1.0219,1.0088,1.0153,2186943.9,2026-03-17 00:59:59.999000+00:00,2217797.4918,24362,1063909.9,1079361.6862
