=== SESSION MONITOR START 2026-03-18 02:03:09 KST ===
[2026-03-18 05:20:26 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:25:14 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:30:02 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:34:48 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:39:36 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:44:24 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:49:11 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:53:57 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 05:58:45 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:03:32 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:08:20 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:13:06 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:17:53 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:22:40 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:27:27 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:32:14 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:37:00 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:41:47 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:46:34 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:51:21 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 06:56:06 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:00:53 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:05:40 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:10:27 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:15:12 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:19:58 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:24:45 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:29:31 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:34:16 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:39:03 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:43:49 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:48:36 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:53:20 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 07:58:07 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:02:53 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
[2026-03-18 08:07:39 KST] PID=157528 | equity=4999.97 USDT | trades=0 | open=0 | DOT=1.5943 ADA=0.2887
