order_link_id,symbol,side,order_type,purpose,qty,price,stop_trigger,status,exchange_order_id,parent_id,created_at,updated_at,metadata
v43-ada-0318-1056-b-0001,ADA,BUY,LIMIT,entry,35.0,0.2884,,CANCELLED,,,2026-03-18T10:56:32.112409+00:00,2026-03-18T10:56:53.339539+00:00,"{""p_trade"": 0.4608067646035834, ""mode"": ""live""}"
v43-sol-0318-1056-b-0001,SOL,BUY,LIMIT,entry,0.12,93.7,,CANCELLED,,,2026-03-18T10:56:53.343165+00:00,2026-03-18T10:57:14.838103+00:00,"{""p_trade"": 0.4935928256002296, ""mode"": ""live""}"
v43-link-0318-1057-b-0001,LINK,BUY,LIMIT,entry,3.15,9.75,,CANCELLED,,,2026-03-18T10:57:14.841791+00:00,2026-03-18T10:57:37.105704+00:00,"{""p_trade"": 0.9302226901054382, ""mode"": ""live""}"
v43-ada-0318-1059-b-0001,ADA,BUY,LIMIT,entry,35.0,0.2884,,REJECTED,,,2026-03-18T10:59:58.261295+00:00,2026-03-18T10:59:58.363939+00:00,"{""p_trade"": 0.45910535662646246, ""mode"": ""live""}"
v43-sol-0318-1059-b-0001,SOL,BUY,LIMIT,entry,0.12,93.8,,FILLED,203843435073,,2026-03-18T10:59:58.367356+00:00,2026-03-18T11:00:01.079169+00:00,"{""p_trade"": 0.4914417937951351, ""mode"": ""live""}"
v43-link-0318-1100-b-0001,LINK,BUY,LIMIT,entry,3.15,9.752,,FILLED,48364700894,,2026-03-18T11:00:01.504439+00:00,2026-03-18T11:00:01.935030+00:00,"{""p_trade"": 0.914085865020752, ""mode"": ""live""}"
v43-ada-0318-1114-b-0001,ADA,BUY,LIMIT,entry,34.0,0.2872,,CANCELLED,,,2026-03-18T11:14:39.091327+00:00,2026-03-18T11:15:00.581527+00:00,"{""p_trade"": 0.45073529728942036, ""mode"": ""live""}"
v43-sol-0318-1214-b-0001,SOL,BUY,LIMIT,entry,0.37,91.72,,REJECTED,,,2026-03-18T12:14:01.817140+00:00,2026-03-18T12:14:01.916863+00:00,"{""p_trade"": 0.5089494270209023, ""mode"": ""live""}"
v43-link-0318-1214-b-0001,LINK,BUY,LIMIT,entry,11.25,9.508,,REJECTED,,,2026-03-18T12:14:01.919890+00:00,2026-03-18T12:14:02.169487+00:00,"{""p_trade"": 0.6865589618682861, ""mode"": ""live""}"
v43-sol-0318-1218-b-0001,SOL,BUY,LIMIT,entry,0.37,91.74,,FILLED,203856412577,,2026-03-18T12:18:49.441682+00:00,2026-03-18T12:18:54.040778+00:00,"{""p_trade"": 0.5111760514082833, ""mode"": ""live""}"
v43-link-0318-1218-b-0001,LINK,BUY,LIMIT,entry,11.25,9.517,,REJECTED,,,2026-03-18T12:18:54.350825+00:00,2026-03-18T12:18:54.457879+00:00,"{""p_trade"": 0.7839267253875732, ""mode"": ""live""}"
v43-link-0318-1420-b-0001,LINK,BUY,LIMIT,entry,3.46,9.322,,REJECTED,,,2026-03-18T14:20:13.079559+00:00,2026-03-18T14:20:13.189064+00:00,"{""p_trade"": 0.6728333830833435, ""mode"": ""live""}"
v43-link-0318-2019-b-0001,LINK,BUY,LIMIT,entry,1.68,9.138,,REJECTED,,,2026-03-18T20:19:48.305825+00:00,2026-03-18T20:19:48.415409+00:00,"{""p_trade"": 0.5175012946128845, ""mode"": ""live""}"
v43-link-0318-2219-b-0001,LINK,BUY,LIMIT,entry,1.63,9.209,,REJECTED,,,2026-03-18T22:19:48.323024+00:00,2026-03-18T22:19:48.429479+00:00,"{""p_trade"": 0.5279984474182129, ""mode"": ""live""}"
v43-sol-0319-0020-b-0001,SOL,BUY,LIMIT,entry,0.14,89.91,,REJECTED,,,2026-03-19T00:20:17.887388+00:00,2026-03-19T00:20:17.995158+00:00,"{""p_trade"": 0.634972877512409, ""mode"": ""live""}"
v43-link-0319-0020-b-0001,LINK,BUY,LIMIT,entry,1.44,9.208,,REJECTED,,,2026-03-19T00:20:17.999494+00:00,2026-03-19T00:20:18.254923+00:00,"{""p_trade"": 0.488454669713974, ""mode"": ""live""}"
v43-eth-0319-0020-b-0001,ETH,BUY,LIMIT,entry,0.005,2197.29,,REJECTED,,,2026-03-19T00:20:18.258775+00:00,2026-03-19T00:20:18.508362+00:00,"{""p_trade"": 0.45731306684697803, ""mode"": ""live""}"
v43-sol-0319-0628-b-0001,SOL,BUY,LIMIT,entry,0.14,89.95,,REJECTED,,,2026-03-19T06:28:09.222041+00:00,2026-03-19T06:28:09.332480+00:00,"{""p_trade"": 0.6767168776707783, ""mode"": ""live""}"
v43-link-0319-0628-b-0001,LINK,BUY,LIMIT,entry,1.42,9.172,,REJECTED,,,2026-03-19T06:28:09.336152+00:00,2026-03-19T06:28:09.589206+00:00,"{""p_trade"": 0.4649445712566376, ""mode"": ""live""}"
v43-sol-0319-0632-b-0001,SOL,BUY,LIMIT,entry,0.14,89.89,,REJECTED,,,2026-03-19T06:32:00.836319+00:00,2026-03-19T06:32:00.949767+00:00,"{""p_trade"": 0.6766988074321382, ""mode"": ""live""}"
v43-sol-0319-0634-b-0001,SOL,BUY,LIMIT,entry,0.14,89.66,,CANCELLED,,,2026-03-19T06:34:31.678846+00:00,2026-03-19T06:34:53.083892+00:00,"{""p_trade"": 0.6762473883999706, ""mode"": ""live""}"
v43-link-0319-0645-b-0001,LINK,BUY,LIMIT,entry,1.41,9.176,,REJECTED,,,2026-03-19T06:45:16.240224+00:00,2026-03-19T06:45:16.350798+00:00,"{""p_trade"": 0.4734680652618408, ""mode"": ""live""}"
v43-link-0319-0648-b-0001,LINK,BUY,LIMIT,entry,1.41,9.175,,REJECTED,,,2026-03-19T06:48:34.389590+00:00,2026-03-19T06:48:34.493672+00:00,"{""p_trade"": 0.4734680652618408, ""mode"": ""live""}"
v43-sol-0319-0705-b-0001,SOL,BUY,LIMIT,entry,0.14,89.9,,REJECTED,,,2026-03-19T07:05:39.401828+00:00,2026-03-19T07:05:39.505531+00:00,"{""p_trade"": 0.6724405701832665, ""mode"": ""live""}"
v43-link-0319-0710-b-0001,LINK,BUY,LIMIT,entry,6.34,9.132,,REJECTED,,,2026-03-19T07:10:19.830607+00:00,2026-03-19T07:10:19.934451+00:00,"{""p_trade"": 0.870462954044342, ""mode"": ""live""}"
v43-dot-0319-1025-b-0001,DOT,BUY,LIMIT,entry,219.1,1.542,,REJECTED,,,2026-03-19T10:25:17.961320+00:00,2026-03-19T10:25:18.057000+00:00,"{""p_trade"": 0.5545446942610475, ""mode"": ""live""}"
v43-xrp-0319-1026-s-0001,XRP,SELL,LIMIT,entry,230.4,1.4673,,REJECTED,,,2026-03-19T10:26:08.518948+00:00,2026-03-19T10:26:08.626780+00:00,"{""p_trade"": 0.6565587677663541, ""mode"": ""live""}"
v43-ada-0319-1028-b-0001,ADA,BUY,LIMIT,entry,165.0,0.2711,,FILLED,63493921418,,2026-03-19T10:28:23.447584+00:00,2026-03-19T10:28:42.800237+00:00,"{""p_trade"": 0.46565223756843843, ""mode"": ""live""}"
v43-xrp-0319-1028-s-0001,XRP,SELL,LIMIT,entry,30.6,1.4677,,CANCELLED,,,2026-03-19T10:28:43.512574+00:00,2026-03-19T10:29:05.016849+00:00,"{""p_trade"": 0.7102720290616512, ""mode"": ""live""}"
v43-ada-0319-1029-b-0001,ADA,BUY,LIMIT,entry,166.0,0.2709,,CANCELLED,,,2026-03-19T10:29:56.777316+00:00,2026-03-19T10:30:18.179443+00:00,"{""p_trade"": 0.7492596740441088, ""mode"": ""live""}"
v43-ada-0319-1031-b-0001,ADA,BUY,LIMIT,entry,166.0,0.2708,,FILLED,63493964112,,2026-03-19T10:31:08.635572+00:00,2026-03-19T10:31:21.668198+00:00,"{""p_trade"": 0.7240576581769949, ""mode"": ""live""}"
