order_link_id,symbol,side,order_type,purpose,qty,price,stop_trigger,status,exchange_order_id,parent_id,created_at,updated_at,metadata
v43-xrp-0319-1053-s-0001,XRP,SELL,LIMIT,entry,30.7,1.4625,,REJECTED,,,2026-03-19T10:53:26.493323+00:00,2026-03-19T10:53:26.742681+00:00,"{""p_trade"": 0.7613320200484166, ""mode"": ""live""}"
v43-dot-0319-1054-b-0001,DOT,BUY,LIMIT,entry,29.3,1.531,,CANCELLED,,,2026-03-19T10:54:18.152382+00:00,2026-03-19T10:54:39.346189+00:00,"{""p_trade"": 0.5291889940228177, ""mode"": ""live""}"
v43-ada-0319-1054-b-0001,ADA,BUY,LIMIT,entry,166.0,0.2698,,REJECTED,,,2026-03-19T10:54:39.348272+00:00,2026-03-19T10:54:39.446387+00:00,"{""p_trade"": 0.7756603708313521, ""mode"": ""live""}"
v43-xrp-0319-1054-s-0001,XRP,SELL,LIMIT,entry,30.7,1.4633,,FILLED,144668133074,,2026-03-19T10:54:39.448896+00:00,2026-03-19T10:54:40.016683+00:00,"{""p_trade"": 0.7519672274208855, ""mode"": ""live""}"
v43-dot-0319-1056-b-0001,DOT,BUY,LIMIT,entry,29.3,1.531,,CANCELLED,,,2026-03-19T10:56:45.138348+00:00,2026-03-19T10:57:06.540907+00:00,"{""p_trade"": 0.4972753445887063, ""mode"": ""live""}"
v43-ada-0319-1057-b-0001,ADA,BUY,LIMIT,entry,166.0,0.2697,,FILLED,63494514580,,2026-03-19T10:57:06.542927+00:00,2026-03-19T10:57:58.123749+00:00,"{""p_trade"": 0.6691328800452406, ""mode"": ""live""}"
v43-dot-0319-1057-b-0001,DOT,BUY,LIMIT,entry,29.3,1.53,,FILLED,31528482878,,2026-03-19T10:57:56.597505+00:00,2026-03-19T10:57:56.940205+00:00,"{""p_trade"": 0.4834164933101508, ""mode"": ""live""}"
v43-dot-0319-1058-b-0001,DOT,BUY,LIMIT,entry,29.4,1.529,,FILLED,31528489398,,2026-03-19T10:58:54.385192+00:00,2026-03-19T10:58:54.734662+00:00,"{""p_trade"": 0.5446659371391872, ""mode"": ""live""}"
v43-ada-0319-1059-b-0001,ADA,BUY,LIMIT,entry,166.0,0.2694,,FILLED,63494551708,,2026-03-19T10:59:56.651577+00:00,2026-03-19T10:59:57.003621+00:00,"{""p_trade"": 0.727947269253935, ""mode"": ""live""}"
v43-sol-0319-1130-s-0001,SOL,SELL,LIMIT,entry,0.5,89.94,,FILLED,204067580932,,2026-03-19T11:30:40.171520+00:00,2026-03-19T11:30:40.530889+00:00,"{""p_trade"": 0.6375680898918312, ""mode"": ""live""}"
v43-sol-0319-1446-b-0001,SOL,BUY,LIMIT,entry,0.53,87.62,,FILLED,204103285201,,2026-03-19T14:46:06.102627+00:00,2026-03-19T14:46:06.459476+00:00,"{""p_trade"": 0.4647854812009056, ""mode"": ""live""}"
v43-sol-0319-2324-s-0001,SOL,SELL,LIMIT,entry,1.13,88.84,,FILLED,204183805177,,2026-03-19T23:24:47.390331+00:00,2026-03-19T23:24:54.641491+00:00,"{""p_trade"": 0.7920355924685072, ""mode"": ""live""}"
v43-sol-0320-0024-s-0001,SOL,SELL,LIMIT,entry,1.12,88.98,,FILLED,204192442889,,2026-03-20T00:24:47.222790+00:00,2026-03-20T00:24:54.513258+00:00,"{""p_trade"": 0.7919852628328296, ""mode"": ""live""}"
v43-sol-0320-0409-b-0001,SOL,BUY,LIMIT,entry,0.38,89.69,,FILLED,204226748347,,2026-03-20T04:09:46.974512+00:00,2026-03-20T04:09:49.622444+00:00,"{""p_trade"": 0.5764607234527767, ""mode"": ""live""}"
v43-sol-0320-0723-b-0001,SOL,BUY,LIMIT,entry,1.12,88.96,,FILLED,204254714006,,2026-03-20T07:23:48.803247+00:00,2026-03-20T07:24:02.436807+00:00,"{""p_trade"": 0.7531752142315455, ""mode"": ""live""}"
v43-sol-0323-1625-b-0001,SOL,BUY,LIMIT,entry,1.1,89.78,,REJECTED,,,2026-03-23T16:25:17.506409+00:00,2026-03-23T16:25:17.693603+00:00,"{""p_trade"": 0.7472885409248244, ""mode"": ""live""}"
v43-sol-0323-1626-b-0001,SOL,BUY,LIMIT,entry,1.1,89.66,,REJECTED,,,2026-03-23T16:26:11.197543+00:00,2026-03-23T16:26:11.368173+00:00,"{""p_trade"": 0.6839469575066606, ""mode"": ""live""}"
v43-sol-0323-1627-b-0001,SOL,BUY,LIMIT,entry,1.1,89.56,,CANCELLED,,,2026-03-23T16:27:11.652345+00:00,2026-03-23T16:27:32.928533+00:00,"{""p_trade"": 0.7130544912015728, ""mode"": ""live""}"
v43-sol-0323-1628-s-0001,SOL,SELL,LIMIT,entry,1.1,89.63,,REJECTED,,,2026-03-23T16:28:41.606811+00:00,2026-03-23T16:28:42.306382+00:00,"{""p_trade"": 0.7002711281942379, ""mode"": ""live""}"
v43-sol-0323-1630-s-0001,SOL,SELL,LIMIT,entry,1.1,89.37,,REJECTED,,,2026-03-23T16:30:41.892744+00:00,2026-03-23T16:30:46.924994+00:00,"{""p_trade"": 0.675618189750747, ""mode"": ""live""}"
v43-sol-0323-1631-s-0001,SOL,SELL,LIMIT,entry,1.1,89.44,,REJECTED,,,2026-03-23T16:31:41.812958+00:00,2026-03-23T16:31:43.032558+00:00,"{""p_trade"": 0.6870855932917195, ""mode"": ""live""}"
v43-sol-0323-1632-s-0001,SOL,SELL,LIMIT,entry,1.1,89.66,,PENDING,,,2026-03-23T16:32:41.504455+00:00,2026-03-23T16:32:41.504455+00:00,"{""p_trade"": 0.7118807027291414, ""mode"": ""live""}"
v43-sol-0323-1633-s-0001,SOL,SELL,LIMIT,entry,1.1,89.66,,FILLED,204912531740,,2026-03-23T16:33:23.699599+00:00,2026-03-23T16:33:26.759068+00:00,"{""p_trade"": 0.7480391680224605, ""mode"": ""live""}"
v43-sol-0323-1638-s-0001,SOL,SELL,LIMIT,entry,1.1,89.93,,FILLED,204913591429,,2026-03-23T16:38:18.154326+00:00,2026-03-23T16:38:23.214351+00:00,"{""p_trade"": 0.7400895554341691, ""mode"": ""live""}"
v43-sol-0323-1653-s-0001,SOL,SELL,LIMIT,entry,0.07,90.25,,FILLED,204916750038,,2026-03-23T16:53:39.040393+00:00,2026-03-23T16:53:39.709939+00:00,"{""p_trade"": 0.4663292943331486, ""mode"": ""live""}"
v43-sol-0323-1702-b-0001,SOL,BUY,LIMIT,entry,0.07,90.35,,FILLED,204918373108,,2026-03-23T17:02:39.742261+00:00,2026-03-23T17:02:42.573772+00:00,"{""p_trade"": 0.6022710886754865, ""mode"": ""live""}"
v43-sol-0323-1707-b-0001,SOL,BUY,LIMIT,entry,0.07,90.36,,CANCELLED,,,2026-03-23T17:07:40.619259+00:00,2026-03-23T17:08:03.200894+00:00,"{""p_trade"": 0.6250030372962909, ""mode"": ""live""}"
v43-sol-0323-1708-b-0001,SOL,BUY,LIMIT,entry,0.07,90.26,,FILLED,204919635161,,2026-03-23T17:08:38.886355+00:00,2026-03-23T17:08:43.921930+00:00,"{""p_trade"": 0.5748278286740185, ""mode"": ""live""}"
v43-sol-0323-1722-s-0001,SOL,SELL,LIMIT,entry,0.07,89.83,,FILLED,204922140771,,2026-03-23T17:22:38.860927+00:00,2026-03-23T17:22:39.559663+00:00,"{""p_trade"": 0.6822203260272321, ""mode"": ""live""}"
v43-sol-0323-1727-s-0001,SOL,SELL,LIMIT,entry,0.07,90.09,,CANCELLED,,,2026-03-23T17:27:39.156621+00:00,2026-03-23T17:28:00.479116+00:00,"{""p_trade"": 0.7672950141177934, ""mode"": ""live""}"
v43-sol-0323-1728-s-0001,SOL,SELL,LIMIT,entry,0.07,90.12,,CANCELLED,,,2026-03-23T17:28:38.667375+00:00,2026-03-23T17:29:00.018504+00:00,"{""p_trade"": 0.7858802337340057, ""mode"": ""live""}"
v43-sol-0323-1729-s-0001,SOL,SELL,LIMIT,entry,0.07,90.0,,CANCELLED,,,2026-03-23T17:29:38.917799+00:00,2026-03-23T17:30:00.249091+00:00,"{""p_trade"": 0.8138226538114867, ""mode"": ""live""}"
v43-sol-0323-1730-s-0001,SOL,SELL,LIMIT,entry,0.07,90.0,,FILLED,204923481148,,2026-03-23T17:30:39.196798+00:00,2026-03-23T17:30:39.871934+00:00,"{""p_trade"": 0.819576045172052, ""mode"": ""live""}"
v43-sol-0323-1734-b-0001,SOL,BUY,LIMIT,entry,0.07,90.37,,CANCELLED,,,2026-03-23T17:34:39.659939+00:00,2026-03-23T17:35:01.074726+00:00,"{""p_trade"": 0.7255014187052249, ""mode"": ""live""}"
v43-sol-0323-1735-b-0001,SOL,BUY,LIMIT,entry,0.07,90.61,,CANCELLED,,,2026-03-23T17:35:38.648860+00:00,2026-03-23T17:35:59.905497+00:00,"{""p_trade"": 0.669040376787403, ""mode"": ""live""}"
v43-sol-0323-1738-s-0001,SOL,SELL,LIMIT,entry,0.07,91.0,,CANCELLED,,,2026-03-23T17:38:38.996093+00:00,2026-03-23T17:39:00.276431+00:00,"{""p_trade"": 0.6012871152163743, ""mode"": ""live""}"
v43-sol-0323-1739-s-0001,SOL,SELL,LIMIT,entry,0.07,90.81,,FILLED,204925140235,,2026-03-23T17:39:39.254146+00:00,2026-03-23T17:39:42.487955+00:00,"{""p_trade"": 0.5082835049725059, ""mode"": ""live""}"
v43-sol-0323-1740-s-0001,SOL,SELL,LIMIT,entry,0.07,91.03,,FILLED,204925334896,,2026-03-23T17:40:39.389723+00:00,2026-03-23T17:40:46.760723+00:00,"{""p_trade"": 0.49043584816452934, ""mode"": ""live""}"
v43-sol-0323-1807-b-0001,SOL,BUY,LIMIT,entry,0.07,90.9,,FILLED,204930060215,,2026-03-23T18:07:39.930530+00:00,2026-03-23T18:07:45.574833+00:00,"{""p_trade"": 0.5168346979998649, ""mode"": ""live""}"
v43-sol-0323-1834-b-0001,SOL,BUY,LIMIT,entry,0.07,91.47,,CANCELLED,,,2026-03-23T18:34:37.832797+00:00,2026-03-23T18:34:59.151754+00:00,"{""p_trade"": 0.5178641921105571, ""mode"": ""live""}"
v43-sol-0323-1844-b-0001,SOL,BUY,LIMIT,entry,0.07,91.4,,CANCELLED,,,2026-03-23T18:44:38.102527+00:00,2026-03-23T18:44:59.431466+00:00,"{""p_trade"": 0.6515529992113944, ""mode"": ""live""}"
v43-sol-0323-1845-b-0001,SOL,BUY,LIMIT,entry,0.07,91.42,,CANCELLED,,,2026-03-23T18:45:38.194556+00:00,2026-03-23T18:45:59.484339+00:00,"{""p_trade"": 0.6053654825834156, ""mode"": ""live""}"
v43-sol-0323-1847-b-0001,SOL,BUY,LIMIT,entry,0.07,91.5,,FILLED,204936394796,,2026-03-23T18:47:37.848505+00:00,2026-03-23T18:47:40.601561+00:00,"{""p_trade"": 0.6865638030424932, ""mode"": ""live""}"
v43-sol-0323-1933-b-0001,SOL,BUY,LIMIT,entry,0.07,91.64,,CANCELLED,,,2026-03-23T19:33:38.200300+00:00,2026-03-23T19:33:59.519593+00:00,"{""p_trade"": 0.7928132073099025, ""mode"": ""live""}"
v43-sol-0323-1934-b-0001,SOL,BUY,LIMIT,entry,0.07,91.61,,FILLED,204943011150,,2026-03-23T19:34:38.306201+00:00,2026-03-23T19:34:39.188696+00:00,"{""p_trade"": 0.7821544419574381, ""mode"": ""live""}"
